"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2024","170.50","170.05","170.63","170.05","","0.27%"
"05/17/2024","170.04","170.02","170.14","169.45","","-0.25%"
"05/16/2024","170.47","171.20","171.20","170.38","","-0.39%"
"05/15/2024","171.14","170.64","171.19","170.19","","0.59%"
"05/14/2024","170.14","169.89","170.19","169.74","","0.17%"
"05/13/2024","169.85","169.86","169.90","169.41","","0.12%"
"05/10/2024","169.64","169.29","169.96","169.26","","0.62%"
"05/09/2024","168.60","168.01","168.70","167.62","","0.26%"
"05/08/2024","168.16","167.97","168.55","167.76","","0.29%"
"05/07/2024","167.67","166.38","167.69","166.09","","1.23%"
"05/06/2024","165.64","164.92","165.86","164.59","","0.67%"
"05/03/2024","164.53","164.22","165.24","163.80","","0.44%"
"05/02/2024","163.81","164.36","164.57","163.69","","-0.53%"
"05/01/2024","164.68","164.55","164.74","164.37","","-0.04%"
"04/30/2024","164.75","166.19","166.19","164.63","","-0.79%"
"04/29/2024","166.07","166.87","166.98","166.05","","-0.13%"
"04/26/2024","166.29","165.35","166.65","165.02","","1.28%"
"04/25/2024","164.19","165.58","165.61","163.09","","-1.02%"
"04/24/2024","165.88","166.88","166.97","165.65","","-0.38%"
"04/23/2024","166.52","164.96","166.60","164.96","","1.33%"
"04/22/2024","164.34","164.04","164.57","163.43","","0.58%"
"04/19/2024","163.39","162.86","163.77","162.17","","-0.25%"
"04/18/2024","163.80","163.99","163.99","162.87","","0.31%"
"04/17/2024","163.29","163.05","164.79","163.05","","-0.09%"
"04/16/2024","163.43","163.74","164.11","162.79","","-1.35%"
"04/15/2024","165.67","165.68","167.25","165.41","","0.35%"
"04/12/2024","165.09","166.63","167.26","164.62","","-0.10%"
"04/11/2024","165.26","166.01","166.42","164.37","","-0.56%"
"04/10/2024","166.19","167.05","167.33","164.70","","0.12%"
"04/09/2024","165.99","167.19","167.27","165.69","","-0.90%"
"04/08/2024","167.50","166.26","167.71","166.26","","0.64%"
"04/05/2024","166.43","166.17","166.47","165.47","","-0.88%"
"04/04/2024","167.90","167.84","168.28","167.59","","0.04%"
"04/03/2024","167.84","167.10","167.87","166.97","","0.52%"
"04/02/2024","166.98","168.49","169.45","166.86","","-0.76%"
"04/01/2024","168.26","168.31","168.31","168.25","","-0.04%"
"03/28/2024","168.32","168.54","168.86","168.32","","-0.11%"
"03/27/2024","168.50","168.26","168.79","168.20","","0.17%"
"03/26/2024","168.21","167.71","168.37","167.35","","0.34%"
"03/25/2024","167.64","167.39","167.86","166.83","","0.14%"
"03/22/2024","167.40","167.24","167.64","166.94","","-0.22%"
"03/21/2024","167.77","167.51","167.82","166.83","","0.94%"
"03/20/2024","166.21","165.91","166.38","165.53","","-0.02%"
"03/19/2024","166.25","165.55","166.28","165.50","","0.32%"
"03/18/2024","165.72","166.17","166.28","165.52","","-0.09%"
"03/15/2024","165.87","166.27","167.11","165.85","","-0.34%"
"03/14/2024","166.43","166.75","167.55","166.15","","-0.02%"
"03/13/2024","166.46","166.38","166.94","166.09","","0.12%"
"03/12/2024","166.26","164.88","166.35","164.37","","1.10%"
"03/11/2024","164.45","164.71","164.71","163.95","","-0.52%"
"03/08/2024","165.31","165.67","165.97","165.28","","-0.16%"
"03/07/2024","165.57","162.96","165.77","162.58","","1.38%"
"03/06/2024","163.32","162.57","163.52","162.54","","0.39%"
"03/05/2024","162.69","163.21","163.30","162.53","","-0.43%"
"03/04/2024","163.40","163.44","163.52","163.02","","0.21%"
"03/01/2024","163.05","162.22","163.10","162.14","","0.71%"
"02/29/2024","161.90","162.26","162.61","161.87","","-0.14%"
"02/28/2024","162.12","162.31","162.36","161.88","","-0.20%"
"02/27/2024","162.44","162.09","162.50","161.68","","0.28%"
"02/26/2024","161.98","162.13","162.24","161.89","","-0.26%"
"02/23/2024","162.41","162.09","162.62","161.80","","0.27%"
"02/22/2024","161.97","160.35","162.37","160.35","","1.35%"
