"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|DK1","114.33","108.79","149.25","143.33"
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|DK1","115.46","115.92","141.71","147.12"
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|DK1","116.29","121.29","171.92","219.34"
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|DK1","124.83","131.08","255.00","281.35"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|DK1","189.17","317.21","317.21","327.58"
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|DK1","204.42","364.63","367.71","366.09"
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|DK1","227.71","393.25","393.25","384.27"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|DK1","248.71","420.04","420.04","374.10"
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|DK1","270.13","373.92","373.92","369.03"
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|DK1","280.17","369.42","369.42","390.07"
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|DK1","254.71","380.17","380.17","410.38"
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|DK1","230.38","429.29","429.29","429.05"
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|DK1","241.58","439.00","439.00","420.52"
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|DK1","239.58","405.75","393.04","327.33"
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|DK1","212.96","332.75","280.21","301.23"
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|DK1","221.63","297.08","297.92","289.21"
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|DK1","190.29","240.38","285.92","280.30"
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|DK1","161.29","196.63","291.04","260.94"
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|DK1","126.00","167.46","227.67","207.23"
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|DK1","101.08","148.96","183.13","167.58"
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|DK1","85.46","140.75","166.75","122.98"
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|DK1","65.33","131.17","109.33","69.79"
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|DK1","49.17","105.54","60.04","53.13"
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|DK1","41.58","68.17","58.17","50.65"
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|DK1","40.00","51.17","53.63","40.11"
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|DK1","41.17","49.83","46.63","50.60"
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|DK1","40.58","45.25","51.58","46.67"
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|DK1","40.08","41.58","44.42","30.70"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|DK1","65.13","26.00","26.00","31.29"
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|DK1","59.04","26.83","26.83","14.60"
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|DK1","53.96","13.42","13.42","8.06"
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|DK1","52.38","15.17","15.17","4.34"
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|DK1","47.96","7.63","7.63","3.75"
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|DK1","41.75","9.42","9.42","3.88"
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|DK1","36.96","6.29","6.29","3.72"
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|DK1","37.25","9.92","9.92","3.44"
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|DK1","49.21","18.46","18.46","4.31"
