"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|DK1","0.05","0.05","0.05","0.00"
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|DK1","0.72","0.71","0.71","0.48"
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|DK1","13.91","13.68","11.91","55.56"
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|DK1","48.68","48.12","120.37","206.66"
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|DK1","78.19","77.38","243.90","350.46"
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|DK1","89.89","89.27","332.53","474.67"
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|DK1","78.41","77.80","315.36","437.62"
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|DK1","48.32","48.10","197.08","271.11"
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|DK1","12.63","12.52","66.34","80.32"
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|DK1","0.62","0.62","5.84","1.86"
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|DK1","0.04","0.04","0.00","0.00"
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|DK1","0.02","0.02","0.00","0.00"
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|DK1","0.05","0.05","0.05","0.00"
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|DK1","0.48","0.55","0.55","0.41"
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|DK1","9.26","10.60","9.90","36.75"
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|DK1","34.06","38.57","76.29","113.51"
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|DK1","56.79","62.41","124.75","208.73"
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|DK1","66.66","70.38","183.43","245.42"
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|DK1","59.30","58.80","145.28","197.74"
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|DK1","35.62","33.84","92.65","131.60"
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|DK1","8.55","7.78","30.54","39.84"
