"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"07/01/2016 18:00:00 - 07/01/2016 19:00:00","BZN|DK1","726.71","n/e"," ","768.43"
"07/01/2016 19:00:00 - 07/01/2016 20:00:00","BZN|DK1","725.33","n/e"," ","661.72"
"07/01/2016 20:00:00 - 07/01/2016 21:00:00","BZN|DK1","725.00","n/e"," ","642.56"
"07/01/2016 21:00:00 - 07/01/2016 22:00:00","BZN|DK1","725.75","n/e"," ","641.89"
"07/01/2016 22:00:00 - 07/01/2016 23:00:00","BZN|DK1","728.33","n/e"," ","641.35"
"07/01/2016 23:00:00 - 08/01/2016 00:00:00","BZN|DK1","727.46","n/e"," ","650.71"
"08/01/2016 00:00:00 - 08/01/2016 01:00:00","BZN|DK1","724.00","n/e"," ","753.76"
"08/01/2016 01:00:00 - 08/01/2016 02:00:00","BZN|DK1","723.54","n/e"," ","764.32"
"08/01/2016 02:00:00 - 08/01/2016 03:00:00","BZN|DK1","723.00","n/e"," ","764.87"
"08/01/2016 03:00:00 - 08/01/2016 04:00:00","BZN|DK1","722.29","n/e"," ","762.11"
"08/01/2016 04:00:00 - 08/01/2016 05:00:00","BZN|DK1","720.88","n/e"," ","761.59"
"08/01/2016 05:00:00 - 08/01/2016 06:00:00","BZN|DK1","714.83","n/e"," ","757.14"
"08/01/2016 06:00:00 - 08/01/2016 07:00:00","BZN|DK1","699.75","n/e"," ","639.41"
"08/01/2016 07:00:00 - 08/01/2016 08:00:00","BZN|DK1","690.13","n/e"," ","664.94"
"08/01/2016 08:00:00 - 08/01/2016 09:00:00","BZN|DK1","684.83","n/e"," ","675.82"
"08/01/2016 09:00:00 - 08/01/2016 10:00:00","BZN|DK1","676.00","n/e"," ","673.28"
"08/01/2016 10:00:00 - 08/01/2016 11:00:00","BZN|DK1","650.00","n/e"," ","698.69"
"08/01/2016 11:00:00 - 08/01/2016 12:00:00","BZN|DK1","594.46","n/e"," ","661.89"
"08/01/2016 12:00:00 - 08/01/2016 13:00:00","BZN|DK1","528.79","n/e"," ","579.17"
"08/01/2016 13:00:00 - 08/01/2016 14:00:00","BZN|DK1","473.00","n/e"," ","497.77"
