"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/01/2023 21:00 - 09/01/2023 22:00","BZN|DK1","2460.68","2436.00"
"09/01/2023 22:00 - 09/01/2023 23:00","BZN|DK1","2315.40","2314.00"
"09/01/2023 23:00 - 10/01/2023 00:00","BZN|DK1","2191.26","2166.00"
"10/01/2023 00:00 - 10/01/2023 01:00","BZN|DK1","2125.52","2052.00"
"10/01/2023 01:00 - 10/01/2023 02:00","BZN|DK1","2157.63","2082.00"
"10/01/2023 02:00 - 10/01/2023 03:00","BZN|DK1","2131.03","2137.00"
"10/01/2023 03:00 - 10/01/2023 04:00","BZN|DK1","2088.20","2151.00"
"10/01/2023 04:00 - 10/01/2023 05:00","BZN|DK1","2056.07","2138.00"
"10/01/2023 05:00 - 10/01/2023 06:00","BZN|DK1","2147.33","2211.00"
"10/01/2023 06:00 - 10/01/2023 07:00","BZN|DK1","2484.98","2502.00"
"10/01/2023 07:00 - 10/01/2023 08:00","BZN|DK1","2800.82","2828.00"
"10/01/2023 08:00 - 10/01/2023 09:00","BZN|DK1","2967.12","2957.00"
"10/01/2023 09:00 - 10/01/2023 10:00","BZN|DK1","2893.02","2929.00"
"10/01/2023 10:00 - 10/01/2023 11:00","BZN|DK1","2880.64","2934.00"
"10/01/2023 11:00 - 10/01/2023 12:00","BZN|DK1","2910.98","2909.00"
"10/01/2023 12:00 - 10/01/2023 13:00","BZN|DK1","2835.54","2857.00"
"10/01/2023 13:00 - 10/01/2023 14:00","BZN|DK1","2885.85","2909.00"
"10/01/2023 14:00 - 10/01/2023 15:00","BZN|DK1","2874.74","2928.00"
"10/01/2023 15:00 - 10/01/2023 16:00","BZN|DK1","2905.96","2887.00"
"10/01/2023 16:00 - 10/01/2023 17:00","BZN|DK1","3021.67","2954.00"
"10/01/2023 17:00 - 10/01/2023 18:00","BZN|DK1","3102.11","3138.00"
"10/01/2023 18:00 - 10/01/2023 19:00","BZN|DK1","2941.84","2945.00"
"10/01/2023 19:00 - 10/01/2023 20:00","BZN|DK1","2762.15","2759.00"
"10/01/2023 20:00 - 10/01/2023 21:00","BZN|DK1","2625.27","2586.00"
"10/01/2023 21:00 - 10/01/2023 22:00","BZN|DK1","2519.33","2452.00"
"10/01/2023 22:00 - 10/01/2023 23:00","BZN|DK1","2449.87","2327.00"
"10/01/2023 23:00 - 11/01/2023 00:00","BZN|DK1","2368.31","2188.00"
"11/01/2023 00:00 - 11/01/2023 01:00","BZN|DK1","2461.94","2320.00"
"11/01/2023 01:00 - 11/01/2023 02:00","BZN|DK1","2503.30","2407.00"
"11/01/2023 02:00 - 11/01/2023 03:00","BZN|DK1","2434.99","2437.00"
"11/01/2023 03:00 - 11/01/2023 04:00","BZN|DK1","2395.33","2409.00"
"11/01/2023 04:00 - 11/01/2023 05:00","BZN|DK1","2367.46","2425.00"
"11/01/2023 05:00 - 11/01/2023 06:00","BZN|DK1","2477.24","2481.00"
"11/01/2023 06:00 - 11/01/2023 07:00","BZN|DK1","2704.83","2715.00"
"11/01/2023 07:00 - 11/01/2023 08:00","BZN|DK1","2981.59","3019.00"
"11/01/2023 08:00 - 11/01/2023 09:00","BZN|DK1","3102.95","3102.00"
"11/01/2023 09:00 - 11/01/2023 10:00","BZN|DK1","3125.54","3089.00"
"11/01/2023 10:00 - 11/01/2023 11:00","BZN|DK1","3157.65","3170.00"
"11/01/2023 11:00 - 11/01/2023 12:00","BZN|DK1","3020.06","3098.00"
"11/01/2023 12:00 - 11/01/2023 13:00","BZN|DK1","2980.79","2981.00"
"11/01/2023 13:00 - 11/01/2023 14:00","BZN|DK1","3141.84","3088.00"
"11/01/2023 14:00 - 11/01/2023 15:00","BZN|DK1","3092.89","3168.00"
"11/01/2023 15:00 - 11/01/2023 16:00","BZN|DK1","2988.90","3029.00"
"11/01/2023 16:00 - 11/01/2023 17:00","BZN|DK1","2979.52","2978.00"
"11/01/2023 17:00 - 11/01/2023 18:00","BZN|DK1","3133.55","3178.00"
"11/01/2023 18:00 - 11/01/2023 19:00","BZN|DK1","3007.35","2986.00"
"11/01/2023 19:00 - 11/01/2023 20:00","BZN|DK1","2849.59","2891.00"
"11/01/2023 20:00 - 11/01/2023 21:00","BZN|DK1","2719.54","2759.00"
"11/01/2023 21:00 - 11/01/2023 22:00","BZN|DK1","2542.08","2609.00"
"11/01/2023 22:00 - 11/01/2023 23:00","BZN|DK1","2455.61","2495.00"
"11/01/2023 23:00 - 12/01/2023 00:00","BZN|DK1","2383.37","2368.00"
"12/01/2023 00:00 - 12/01/2023 01:00","BZN|DK1","2419.12","2286.00"
"12/01/2023 01:00 - 12/01/2023 02:00","BZN|DK1","2379.74","2315.00"
"12/01/2023 02:00 - 12/01/2023 03:00","BZN|DK1","2379.94","2345.00"
"12/01/2023 03:00 - 12/01/2023 04:00","BZN|DK1","2373.88","2371.00"
"12/01/2023 04:00 - 12/01/2023 05:00","BZN|DK1","2343.91","2380.00"
"12/01/2023 05:00 - 12/01/2023 06:00","BZN|DK1","2411.82","2467.00"
"12/01/2023 06:00 - 12/01/2023 07:00","BZN|DK1","2632.70","2697.00"
"12/01/2023 07:00 - 12/01/2023 08:00","BZN|DK1","2892.61","2932.00"
"12/01/2023 08:00 - 12/01/2023 09:00","BZN|DK1","3072.21","3061.00"
"12/01/2023 09:00 - 12/01/2023 10:00","BZN|DK1","3107.03","3076.00"
"12/01/2023 10:00 - 12/01/2023 11:00","BZN|DK1","3246.70","3249.00"
"12/01/2023 11:00 - 12/01/2023 12:00","BZN|DK1","3185.42","3186.00"
"12/01/2023 12:00 - 12/01/2023 13:00","BZN|DK1","3136.01","3105.00"
"12/01/2023 13:00 - 12/01/2023 14:00","BZN|DK1","3116.71","3190.00"
"12/01/2023 14:00 - 12/01/2023 15:00","BZN|DK1","3010.10","3113.00"
"12/01/2023 15:00 - 12/01/2023 16:00","BZN|DK1","2956.58","3007.00"
"12/01/2023 16:00 - 12/01/2023 17:00","BZN|DK1","2918.42","2945.00"
"12/01/2023 17:00 - 12/01/2023 18:00","BZN|DK1","3092.00","3159.00"
"12/01/2023 18:00 - 12/01/2023 19:00","BZN|DK1","2948.11","2952.00"
"12/01/2023 19:00 - 12/01/2023 20:00","BZN|DK1","2767.93","2790.00"
"12/01/2023 20:00 - 12/01/2023 21:00","BZN|DK1","2594.82","2635.00"
"12/01/2023 21:00 - 12/01/2023 22:00","BZN|DK1","2538.63","2515.00"
"12/01/2023 22:00 - 12/01/2023 23:00","BZN|DK1","2483.58","2469.00"
"12/01/2023 23:00 - 13/01/2023 00:00","BZN|DK1","2417.54","2405.00"
"13/01/2023 00:00 - 13/01/2023 01:00","BZN|DK1","2393.61","2398.00"
"13/01/2023 01:00 - 13/01/2023 02:00","BZN|DK1","2391.28","2377.00"
"13/01/2023 02:00 - 13/01/2023 03:00","BZN|DK1","2374.10","2372.00"
"13/01/2023 03:00 - 13/01/2023 04:00","BZN|DK1","2395.95","2377.00"
"13/01/2023 04:00 - 13/01/2023 05:00","BZN|DK1","2392.53","2396.00"
"13/01/2023 05:00 - 13/01/2023 06:00","BZN|DK1","2476.89","2488.00"
"13/01/2023 06:00 - 13/01/2023 07:00","BZN|DK1","2626.54","2715.00"
"13/01/2023 07:00 - 13/01/2023 08:00","BZN|DK1","2913.04","2957.00"
"13/01/2023 08:00 - 13/01/2023 09:00","BZN|DK1","3044.74","3061.00"
"13/01/2023 09:00 - 13/01/2023 10:00","BZN|DK1","3066.41","3059.00"
"13/01/2023 10:00 - 13/01/2023 11:00","BZN|DK1","3060.16","3089.00"
"13/01/2023 11:00 - 13/01/2023 12:00","BZN|DK1","3054.34","3063.00"
"13/01/2023 12:00 - 13/01/2023 13:00","BZN|DK1","2963.85","2960.00"
"13/01/2023 13:00 - 13/01/2023 14:00","BZN|DK1","2898.17","2904.00"
"13/01/2023 14:00 - 13/01/2023 15:00","BZN|DK1","2809.08","2834.00"
"13/01/2023 15:00 - 13/01/2023 16:00","BZN|DK1","2711.41","2761.00"
"13/01/2023 16:00 - 13/01/2023 17:00","BZN|DK1","2801.43","2874.00"
"13/01/2023 17:00 - 13/01/2023 18:00","BZN|DK1","2959.17","2957.00"
"13/01/2023 18:00 - 13/01/2023 19:00","BZN|DK1","2776.08","2764.00"
"13/01/2023 19:00 - 13/01/2023 20:00","BZN|DK1","2600.41","2559.00"
"13/01/2023 20:00 - 13/01/2023 21:00","BZN|DK1","2497.19","2429.00"
"13/01/2023 21:00 - 13/01/2023 22:00","BZN|DK1","2434.23","2392.00"
"13/01/2023 22:00 - 13/01/2023 23:00","BZN|DK1","2388.37","2311.00"
"13/01/2023 23:00 - 14/01/2023 00:00","BZN|DK1","2316.80","2187.00"
"14/01/2023 00:00 - 14/01/2023 01:00","BZN|DK1","2239.22","2211.00"
